seed,rho_struct,ACC_oracle,ACC_emergent,accuracy_gap,Acc_A_end_A,Acc_A_after_B,Acc_B_after_B,BT_A_emergent,n_repr_particles,n_repr_crystallized,n_scale2_centers,n_scale2_crystallized,rho_nocryst,rho_shuffled,ACC_raw20D,ACC_pca2D,ACC_random2D,rho_pass,acc_pass,gate1_pass
0,0.8910807522208049,0.812,0.8879999999999999,-0.07599999999999985,0.949,0.82,0.956,-0.129,203,180,25,24,0.9684454960350735,0.903713173032386,0.9239999999999999,0.91,0.7430000000000001,True,True,True
1,0.8574413059761703,0.883,0.843,0.040000000000000036,0.964,0.728,0.958,-0.236,176,156,25,21,0.9567861737716076,0.8693433653995927,0.937,0.8405,0.7829999999999999,True,True,True
2,0.8754859307339508,0.8605,0.8465,0.014000000000000012,0.951,0.727,0.966,-0.22399999999999998,204,183,25,23,0.9368372887886859,0.8845177796885765,0.9345,0.7705,0.736,True,True,True
3,0.8571103428472977,0.8485,0.812,0.03649999999999998,0.975,0.692,0.932,-0.28300000000000003,196,178,20,17,0.959888236552291,0.8674064017716634,0.921,0.83,0.7985,True,True,True
4,0.8699603138898264,0.8795,0.8394999999999999,0.040000000000000036,0.947,0.711,0.968,-0.236,176,155,23,22,0.9479405506355509,0.8813672099666112,0.95,0.743,0.7949999999999999,True,True,True
5,0.8712098551699485,0.873,0.8334999999999999,0.03950000000000009,0.972,0.694,0.973,-0.278,204,184,22,18,0.9520766090472151,0.8828345454218232,0.9365,0.7825,0.794,True,True,True
6,0.8598657525830643,0.891,0.8445,0.046499999999999986,0.968,0.729,0.96,-0.239,185,165,22,19,0.9486312889230145,0.8671638829818497,0.927,0.8585,0.7305,True,True,True
7,0.8806518058744486,0.903,0.8025,0.10050000000000003,0.962,0.641,0.964,-0.32099999999999995,213,194,29,26,0.9371805704315155,0.891051439700276,0.9505,0.7375,0.763,True,True,True
8,0.8403415550972047,0.89,0.79,0.09999999999999998,0.962,0.605,0.975,-0.357,199,177,18,16,0.966856746146132,0.8545721461679684,0.9195,0.79,0.7404999999999999,True,True,True
9,0.8378897010777309,0.9099999999999999,0.9375,-0.02750000000000008,0.965,0.901,0.974,-0.06399999999999995,214,194,25,24,0.9570949497312882,0.8512428124481127,0.9450000000000001,0.806,0.764,True,True,True
