freq,split,seed,n_particles,n_crystallized,n_splits,x_u2_ceiling,sig_u2_reg,sig_u2_pair,sig_u1_reg,per_particle_u2_var,rho_struct,rho_u1,rho_u2,best_mode,ACC_oracle,ACC_emergent,accuracy_gap
3.0,False,0,263,145,0,0.031256806591062905,0.11786541646619358,0.007957187202692189,0.9702935221206196,0.7787664901188719,0.5040799453968414,0.9726498172233999,0.025482910264016105,union,,,
3.0,False,1,241,122,0,-0.007343344494856251,-0.031921801507291965,0.00012547661571585348,0.9760669104360085,0.8335469832108974,0.5613016572222462,0.9871139378678518,0.10406095459756176,multiplicative,,,
3.0,False,2,262,155,0,0.07749552260956272,-0.0809775441046108,0.003023632675459427,0.9445204889159757,0.7722163194438236,0.4903701616038232,0.9735895833129158,-0.021931679366735488,union,,,
3.0,False,3,260,128,0,0.08817024546481801,0.038970681875762435,0.02084036889322374,0.9587731965007237,0.8055540062529256,0.5319223912049839,0.9801520739778026,-0.07687565723668495,union,,,
3.0,False,4,233,138,0,0.0370418265419471,-0.021089667045132165,-0.0030422657333392645,0.958393742290014,0.794037639009684,0.548179626721017,0.9794548944123767,-0.02541578322036634,multiplicative,,,
3.0,True,0,1398,709,3238,0.031256806591062905,0.6959022531812554,0.1663636249790365,0.8102784466218959,0.4331374525011768,0.6000679679412042,0.9966017400193335,0.17597751086123178,multiplicative,,,
3.0,True,1,1328,686,3227,-0.007343344494856251,0.7113964425723986,0.20633662662413402,0.782516856144937,0.5198437067111131,0.5982985309996017,0.9979559772886365,-0.03161812909032322,union,,,
3.0,True,2,1397,685,3263,0.07749552260956272,0.6334246701768688,0.1514961109910839,0.8449272957350561,0.607274988525756,0.5543497301709499,0.9965381837575972,-0.028598539983777597,multiplicative,,,
3.0,True,3,1487,720,3651,0.08817024546481801,0.6613264014484377,0.14871323512709123,0.7714426998812974,0.4214341404008601,0.5524726490051487,0.9977155301725574,-0.08423782486472073,union,,,
3.0,True,4,1474,687,3571,0.0370418265419471,0.6622097305485123,0.1629909199093374,0.8007361104071772,0.4947786854327676,0.584804841792475,0.9973328592539917,-0.0054533939265991845,multiplicative,,,
2.0,False,0,240,172,0,0.46141718939753856,0.2119193037632826,-0.008080979921531908,0.9477273893071143,0.3463105896916677,0.5713392096752999,0.9873173021163965,0.31805579151499563,multiplicative,,,
2.0,False,1,223,148,0,0.4653038935866815,0.11739718307339143,-0.004077101098376259,0.9451097001332831,0.4746122600454538,0.6158504914951699,0.9895616617962422,0.21002055578395315,multiplicative,,,
2.0,False,2,242,173,0,0.4445620475086355,0.3912228502565527,0.005477656498934003,0.9512661913453876,0.2806757277583818,0.5333681034674383,0.9892234358159534,0.16370093001033342,multiplicative,,,
2.0,False,3,228,155,0,0.4461326935025307,0.30873172080189126,-0.01828999981122731,0.9445623827425184,0.3681210659274688,0.5521518037109752,0.9835944843831598,0.09667574084156491,multiplicative,,,
2.0,False,4,205,137,0,0.41135160026754397,0.10172133567327123,-0.01776328052547769,0.9547164924258243,0.311808551615739,0.5466184152769301,0.9855376170846343,0.21006633407037856,multiplicative,,,
2.0,True,0,936,601,1812,0.46141718939753856,0.7434786028178617,0.2623119546232531,0.798381803259311,0.006572248573425856,0.6382473933454165,0.9941710463449593,0.20079645329392548,multiplicative,,,
2.0,True,1,906,592,2006,0.4653038935866815,0.7413966983336779,0.2816635457535653,0.7740591118082955,0.006300897060824939,0.6036344640097201,0.9963079589773218,0.23640884898721098,union,,,
2.0,True,2,933,569,2040,0.4445620475086355,0.7635322850056793,0.2922031485197645,0.8066210720484607,0.00528885388255316,0.5907264363019111,0.9965488505427837,0.03250925010277892,union,,,
2.0,True,3,888,540,1878,0.4461326935025307,0.7590570137167675,0.2999912990124194,0.7769615826330787,0.004829725008216746,0.5825405134446754,0.9966901854465048,0.02095134390382115,union,,,
2.0,True,4,918,532,1881,0.41135160026754397,0.7184198494504448,0.27918759153988737,0.7985820847658919,0.0038806556026700894,0.600300329232706,0.9965217391304348,0.17974955277280857,union,,,
1.5,False,0,214,164,0,0.8374624574564773,0.6332402428476661,0.09447987612417731,0.9159573788006792,0.02324293841902044,0.5635480899944474,0.9860451782797586,0.6026244736052623,multiplicative,0.9237500000000001,0.788125,0.1356250000000001
1.5,False,1,209,148,0,0.8170750783189015,0.5575116817204921,0.0924832075929303,0.9162684850692782,0.026323183128825086,0.5992686815523219,0.9884709830109223,0.4687425415837953,multiplicative,0.885625,0.75,0.135625
1.5,False,2,235,187,0,0.815437454326468,0.571707120133794,0.09441807214842078,0.9103518201238413,0.022888830720584945,0.4921010037782338,0.9844309381215346,0.44584362048467197,multiplicative,0.88125,0.756875,0.12437500000000001
1.5,False,3,220,164,0,0.7697321649664056,0.40174173512441114,0.07482260333598185,0.9280874513189266,0.024934620114753843,0.5565376693960129,0.9891381015344615,0.5835162612917921,multiplicative,0.930625,0.768125,0.1625000000000001
1.5,False,4,194,149,0,0.7830722993819726,0.5303225022398613,0.09397740302560129,0.900176583106678,0.027372257946098526,0.5517607804823365,0.9888812097912199,0.6186846520516894,multiplicative,0.906875,0.739375,0.16749999999999998
1.5,True,0,508,443,781,0.8374624574564773,0.8115051136756359,0.320977596290299,0.759410120060721,0.012562779083377426,0.6169948643343113,0.9953123923599151,0.555167057411749,multiplicative,0.9237500000000001,0.781875,0.14187500000000008
1.5,True,1,557,430,862,0.8170750783189015,0.8229115837438619,0.350667132068557,0.7524408972257115,0.009522023428299446,0.62307187755869,0.9965572950810564,0.5850998344426048,union,0.885625,0.7193750000000001,0.1662499999999999
1.5,True,2,534,447,763,0.815437454326468,0.8291956749826042,0.34130873393473493,0.8008855695752148,0.019469697674414185,0.5906739326653838,0.9949257213969044,0.30848031644796053,multiplicative,0.88125,0.73875,0.14249999999999996
1.5,True,3,561,467,843,0.7697321649664056,0.7946585608557843,0.34775333992648144,0.739824863063753,0.015425170494199354,0.6534861733198679,0.9950057222858031,0.1885340948232758,union,0.930625,0.7375,0.193125
1.5,True,4,528,432,749,0.7830722993819726,0.7948037195049341,0.3155811860793306,0.7170475026795811,0.01242019121110806,0.6351002805054846,0.9952497249969442,0.13468949654996165,union,0.906875,0.788125,0.11875000000000002
