encoder,freq,seed,n_probes,coord_dim,ACC,n_scale2_cryst,rho_struct,rho_u1,rho_u2,run
static,1.5,0,5,2,0.781875,20.0,0.6169948643343113,0.9953123923599151,0.555167057411749,Run1-sanity
interactive,1.5,0,5,6,0.973125,52.0,0.719622819523474,0.9900056667296302,0.833213257925088,Run1-sanity
oracle,1.5,0,5,2,0.9237500000000001,35.0,1.0,1.0,1.0,Run1-sanity
static,1.5,1,5,2,0.73125,21.0,0.6143306374489185,0.9952763919599107,0.4883574261936243,Run1-sanity
interactive,1.5,1,5,6,0.9606250000000001,52.0,0.6961767115355767,0.9909203435593728,0.7407531194791053,Run1-sanity
oracle,1.5,1,5,2,0.885625,36.0,1.0,1.0,1.0,Run1-sanity
static,1.5,2,5,2,0.73875,19.0,0.5906739326653838,0.994715052389471,0.25264902943366035,Run1-sanity
interactive,1.5,2,5,6,0.986875,49.0,0.7059174780137885,0.9852265025166946,0.8591735463727375,Run1-sanity
oracle,1.5,2,5,2,0.88125,36.0,1.0,1.0,1.0,Run1-sanity
static,1.5,3,5,2,0.74,20.0,0.6410533671872141,0.9958777319747997,0.14020378004200046,Run1-sanity
interactive,1.5,3,5,6,0.99125,54.0,0.7384075773809742,0.9905656729519215,0.8206153401704465,Run1-sanity
oracle,1.5,3,5,2,0.930625,37.0,1.0,1.0,1.0,Run1-sanity
static,1.5,4,5,2,0.755,20.0,0.6209860676312953,0.9950083889820996,0.2873525261391793,Run1-sanity
interactive,1.5,4,5,6,0.98125,47.0,0.7195024942005234,0.9891843242702696,0.8365959621773574,Run1-sanity
oracle,1.5,4,5,2,0.906875,36.0,1.0,1.0,1.0,Run1-sanity
static,3.0,0,5,2,0.733125,17.0,0.6000679679412042,0.9966017400193335,0.17597751086123178,Run2-headline
interactive,3.0,0,5,6,0.9724999999999999,55.0,0.7040661387865377,0.9935368170757453,0.7791815464616273,Run2-headline
oracle,3.0,0,5,2,0.9237500000000001,35.0,1.0,1.0,1.0,Run2-headline
static,3.0,1,5,2,0.735625,18.0,0.5970227766754201,0.99689952110579,-0.07622084689829886,Run2-headline
interactive,3.0,1,5,6,0.928125,53.0,0.6794062676692575,0.9947052745030499,0.6766928521428016,Run2-headline
oracle,3.0,1,5,2,0.885625,36.0,1.0,1.0,1.0,Run2-headline
static,3.0,2,5,2,0.7424999999999999,20.0,0.5543497301709499,0.9964346270514116,-0.011485016500183335,Run2-headline
interactive,3.0,2,5,6,0.963125,57.0,0.6795884572226936,0.9928630318114646,0.7941546017177967,Run2-headline
oracle,3.0,2,5,2,0.88125,36.0,1.0,1.0,1.0,Run2-headline
static,3.0,3,5,2,0.753125,20.0,0.5520529566222949,0.9977688640984899,-0.032436804853387256,Run2-headline
interactive,3.0,3,5,6,0.963125,53.0,0.6683966768632985,0.9943568261869576,0.7664387382082022,Run2-headline
oracle,3.0,3,5,2,0.930625,37.0,1.0,1.0,1.0,Run2-headline
static,3.0,4,5,2,0.768125,17.0,0.584804841792475,0.9972804142268248,0.06855853953932821,Run2-headline
interactive,3.0,4,5,6,0.9693750000000001,52.0,0.6921936676712691,0.9941048233869264,0.7733348148312758,Run2-headline
oracle,3.0,4,5,2,0.906875,36.0,1.0,1.0,1.0,Run2-headline
interactive,3.0,0,1,6,,,0.6185966649458207,0.9945794953277258,0.6158677318636874,Run3-sweep
interactive,3.0,0,3,6,,,0.6733569860774956,0.9938345981622017,0.7556177290858787,Run3-sweep
interactive,3.0,0,5,6,,,0.7040661387865377,0.9935368170757453,0.7791815464616273,Run3-sweep
interactive,3.0,0,10,6,,,0.7375628922419395,0.995310614562384,0.8232344803831153,Run3-sweep
interactive,3.0,0,20,6,,,0.7400273011566098,0.9957652862809587,0.8385573173035255,Run3-sweep
interactive,3.0,1,1,6,,,0.6109810940610769,0.9953443927154745,0.5144417160190667,Run3-sweep
interactive,3.0,1,3,6,,,0.6541774813654815,0.9950186113179036,0.6634158157312859,Run3-sweep
interactive,3.0,1,5,6,,,0.6794062676692575,0.9947052745030499,0.6766928521428016,Run3-sweep
interactive,3.0,1,10,6,,,0.7029408612230434,0.9954843942710475,0.738852209468994,Run3-sweep
interactive,3.0,1,20,6,,,0.7077116969155861,0.9960190668785208,0.7121123568039645,Run3-sweep
interactive,3.0,2,1,6,,,0.5766377743278953,0.993892376581962,0.6110796786630962,Run3-sweep
interactive,3.0,2,3,6,,,0.6447103146708539,0.9935483727596973,0.757807531194791,Run3-sweep
interactive,3.0,2,5,6,,,0.6795884572226936,0.9928630318114646,0.7941546017177967,Run3-sweep
interactive,3.0,2,10,6,,,0.7071202364073442,0.9943221591351015,0.8167504083378704,Run3-sweep
interactive,3.0,2,20,6,,,0.7179942892041324,0.9953172813031256,0.8292683252036133,Run3-sweep
