seed,encoder,n_probes,coord_dim,ACC,ACC_oracle,accuracy_gap,n_scale2_cryst,rho_struct,rho_u1,rho_u2
0,static,5,2,0.733125,0.9237500000000001,0.19062500000000004,17,0.6000679679412042,0.9966017400193335,0.17597751086123178
0,interactive_random,5,6,0.9724999999999999,0.9237500000000001,-0.04874999999999985,55,0.7040661387865377,0.9935368170757453,0.7791815464616273
0,interactive_informed,5,6,0.9825,0.9237500000000001,-0.05874999999999997,52,0.7036088997057991,0.994354159490661,0.8222535805953398
0,oracle,5,2,0.9237500000000001,0.9237500000000001,0.0,35,1.0,1.0,1.0
1,static,5,2,0.735625,0.885625,0.15000000000000002,18,0.5970227766754201,0.99689952110579,-0.07622084689829886
1,interactive_random,5,6,0.928125,0.885625,-0.04249999999999998,53,0.6794062676692575,0.9947052745030499,0.6766928521428016
1,interactive_informed,5,6,0.909375,0.885625,-0.02375000000000005,55,0.6651348610020441,0.9937532639251547,0.7146074956388404
1,oracle,5,2,0.885625,0.885625,0.0,36,1.0,1.0,1.0
2,static,5,2,0.7424999999999999,0.88125,0.13875000000000004,20,0.5543497301709499,0.9964346270514116,-0.011485016500183335
2,interactive_random,5,6,0.963125,0.88125,-0.08187500000000003,57,0.6795884572226936,0.9928630318114646,0.7941546017177967
2,interactive_informed,5,6,0.98,0.88125,-0.09875,55,0.6806074074422704,0.9925816953521704,0.7849682774253047
2,oracle,5,2,0.88125,0.88125,0.0,36,1.0,1.0,1.0
3,static,5,2,0.753125,0.930625,0.1775,20,0.5520529566222949,0.9977688640984899,-0.032436804853387256
3,interactive_random,5,6,0.963125,0.930625,-0.03249999999999997,53,0.6683966768632985,0.9943568261869576,0.7664387382082022
3,interactive_informed,5,6,0.93125,0.930625,-0.0006249999999999867,48,0.6538625389707409,0.9946826075845286,0.8022360248447205
3,oracle,5,2,0.930625,0.930625,0.0,37,1.0,1.0,1.0
4,static,5,2,0.768125,0.906875,0.13875000000000004,17,0.584804841792475,0.9972804142268248,0.06855853953932821
4,interactive_random,5,6,0.9693750000000001,0.906875,-0.06250000000000011,52,0.6921936676712691,0.9941048233869264,0.7733348148312758
4,interactive_informed,5,6,0.979375,0.906875,-0.07250000000000001,57,0.6828791302119707,0.9941879354215045,0.7596208846764962
4,oracle,5,2,0.906875,0.906875,0.0,36,1.0,1.0,1.0
5,static,5,2,0.746875,0.8812500000000001,0.13437500000000013,16,0.6000015140090549,0.9971901910021221,-0.12574273047478307
5,interactive_random,5,6,0.9606250000000001,0.8812500000000001,-0.07937499999999997,50,0.6905914618008451,0.9924523605817842,0.727574306381182
5,interactive_informed,5,6,0.96375,0.8812500000000001,-0.0824999999999999,53,0.6866556520990434,0.9928954766164068,0.7078740874898609
5,oracle,5,2,0.8812500000000001,0.8812500000000001,0.0,33,1.0,1.0,1.0
6,static,5,2,0.736875,0.9156249999999999,0.17874999999999996,19,0.6078907286188738,0.9963475149723886,-0.003932043689374326
6,interactive_random,5,6,0.9293750000000001,0.9156249999999999,-0.013750000000000151,53,0.7106855649343979,0.9939808220091334,0.7315605728952543
6,interactive_informed,5,6,0.956875,0.9156249999999999,-0.04125000000000012,47,0.6953485930704624,0.9934354826164735,0.7237413749041655
6,oracle,5,2,0.9156249999999999,0.9156249999999999,0.0,37,1.0,1.0,1.0
7,static,5,2,0.75375,0.8674999999999999,0.1137499999999999,20,0.6077397996856068,0.9968159646218291,0.024755386170957454
7,interactive_random,5,6,0.97125,0.8674999999999999,-0.10375000000000001,57,0.7009090996665558,0.9941452682807586,0.7331063678485317
7,interactive_informed,5,6,0.973125,0.8674999999999999,-0.10562500000000008,55,0.686101626086948,0.9936568184090934,0.7418402426693628
7,oracle,5,2,0.8674999999999999,0.8674999999999999,0.0,36,1.0,1.0,1.0
8,static,5,2,0.753125,0.894375,0.14125,19,0.6004889468224539,0.9971844131601463,0.04677829753663929
8,interactive_random,5,6,0.9775,0.894375,-0.083125,45,0.6976415958957041,0.9945208280092,0.6963050700563339
8,interactive_informed,5,6,0.9525,0.894375,-0.05812499999999998,50,0.6816384893192453,0.9950941677129745,0.7476189735441505
8,oracle,5,2,0.894375,0.894375,0.0,42,1.0,1.0,1.0
9,static,5,2,0.76,0.908125,0.14812499999999995,17,0.5882208304511951,0.9973008588984321,-0.04961877354192824
9,interactive_random,5,6,0.96125,0.908125,-0.05312500000000009,54,0.6757278120317658,0.9916399071100789,0.7783899821109123
9,interactive_informed,5,6,0.95375,0.908125,-0.04562500000000003,50,0.6687557274257663,0.9911723463594039,0.762960477338637
9,oracle,5,2,0.908125,0.908125,0.0,37,1.0,1.0,1.0
