seed,basin,size,boundary,interior,max_field,max_error,relative_error
0,0,29,27,2,1.0973098864581023,0.10109097468643718,0.09212618597972
0,1,26,23,3,1.0489951352958449,0.2967409944152046,0.28288119210698487
1,0,27,23,4,1.161379554649206,0.5109670416977604,0.43996559058429535
1,1,26,21,5,1.2563718281842133,0.5519665879866555,0.4393337828503036
2,0,29,23,6,1.2002086449957254,0.5820928439624223,0.484993043785313
2,1,28,24,4,1.2642126030022054,0.49124608759837707,0.3885786982291793
3,0,25,23,2,1.123240086227509,0.9058947327418398,0.8065014272271115
3,1,28,25,3,1.0635411415874167,0.46436892440459254,0.4366252570801575
4,0,27,24,3,0.9801303919713994,0.3227437542247372,0.32928654884647873
4,1,25,20,5,1.106793276189989,0.37739683270642616,0.3409822238634065
